id,timestamp,full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,state,product_type,sub_area,price_doc
45,2011-10-01,77,45.0,10.0,,,,,,,Investment,Brateevo,8600000
46,2011-10-01,42,22.0,24.0,,,,,,,Investment,Mitino,2312800
47,2011-10-03,38,23.0,4.0,,,,,,,Investment,Vostochnoe Izmajlovo,6200000
48,2011-10-03,36,18.0,5.0,,,,,,,Investment,Novo-Peredelkino,4833000
49,2011-10-03,44,28.0,2.0,,,,,,,Investment,Jaroslavskoe,5300000
50,2011-10-03,37,19.0,11.0,,,,,,,Investment,Zapadnoe Degunino,5150000
51,2011-10-03,51,33.0,1.0,,,,,,,Investment,Caricyno,1000000
52,2011-10-03,37,19.0,6.0,,,,,,,Investment,Vyhino-Zhulebino,5098000
53,2011-10-03,46,29.0,9.0,,,,,,,Investment,Tekstil'shhiki,5500000
54,2011-10-03,38,37.0,11.0,,,,,,,Investment,Donskoe,6000000
55,2011-10-03,34,19.0,10.0,,,,,,,Investment,Ljublino,4800000
56,2011-10-04,43,25.0,1.0,,,,,,,Investment,Novogireevo,5500000
57,2011-10-04,56,39.0,4.0,,,,,,,Investment,Bogorodskoe,2000000
58,2011-10-04,35,35.0,6.0,,,,,,,Investment,Juzhnoe Butovo,5000000
59,2011-10-04,75,46.0,12.0,,,,,,,Investment,Sokol,9950000
60,2011-10-04,64,44.0,14.0,,,,,,,Investment,Chertanovo Central'noe,990000
61,2011-10-04,96,51.0,16.0,,,,,,,Investment,Kurkino,14000000
62,2011-10-04,52,34.0,4.0,,,,,,,Investment,Izmajlovo,7200000
63,2011-10-04,44,30.0,10.0,,,,,,,Investment,Preobrazhenskoe,8400000
64,2011-10-04,39,39.0,10.0,,,,,,,Investment,Novogireevo,2080000
65,2011-10-04,35,20.0,11.0,,,,,,,Investment,Donskoe,5750000
66,2011-10-05,63,60.0,12.0,,,,,,,Investment,Severnoe Medvedkovo,10011000
67,2011-10-05,50,29.0,9.0,,,,,,,Investment,Strogino,1000000
68,2011-10-05,51,50.0,16.0,,,,,,,Investment,Donskoe,7100000
69,2011-10-05,76,45.0,11.0,,,,,,,Investment,Rostokino,2000000
70,2011-10-05,45,30.0,6.0,,,,,,,Investment,Orehovo-Borisovo Severnoe,6600000
71,2011-10-05,32,19.0,9.0,,,,,,,Investment,Bibirevo,5300000
72,2011-10-05,64,28.0,10.0,,,,,,,Investment,Ochakovo-Matveevskoe,2630000
73,2011-10-06,66,17.0,2.0,,,,,,,Investment,Taganskoe,2600000
74,2011-10-06,38,19.0,8.0,,,,,,,Investment,Dmitrovskoe,4550000
75,2011-10-06,37,22.0,6.0,,,,,,,Investment,Donskoe,7400000
76,2011-10-07,46,28.0,3.0,,,,,,,Investment,Vyhino-Zhulebino,5300000
77,2011-10-07,74,46.0,17.0,,,,,,,Investment,Orehovo-Borisovo Juzhnoe,8900000
78,2011-10-07,30,17.0,7.0,,,,,,,Investment,Kuz'minki,4950000
79,2011-10-07,53,30.0,13.0,,,,,,,Investment,Teplyj Stan,7800000
80,2011-10-07,133,64.0,2.0,,,,,,,Investment,Izmajlovo,17600000
81,2011-10-07,47,31.0,1.0,,,,,,,Investment,Gol'janovo,1000000
82,2011-10-07,50,30.0,9.0,,,,,,,Investment,Juzhnoe Butovo,990000
83,2011-10-07,34,19.0,8.0,,,,,,,Investment,Hovrino,1000000
84,2011-10-07,66,42.0,7.0,,,,,,,Investment,Basmannoe,990000
85,2011-10-07,63,33.0,2.0,,,,,,,Investment,Juzhnoe Butovo,9000000
86,2011-10-07,43,21.0,7.0,,,,,,,Investment,Babushkinskoe,6700000
87,2011-10-08,45,44.0,5.0,,,,,,,Investment,Bogorodskoe,990000
88,2011-10-08,34,20.0,7.0,,,,,,,Investment,Staroe Krjukovo,4000000
89,2011-10-08,43,28.0,9.0,,,,,,,Investment,Pokrovskoe Streshnevo,4450000
90,2011-10-10,76,74.0,7.0,,,,,,,Investment,Kon'kovo,12500000
91,2011-10-10,32,19.0,8.0,,,,,,,Investment,Obruchevskoe,3775000
92,2011-10-11,50,30.0,5.0,,,,,,,Investment,Filevskij Park,9500000
93,2011-10-11,32,18.0,8.0,,,,,,,Investment,Troparevo-Nikulino,990000
94,2011-10-11,72,45.0,1.0,,,,,,,Investment,Severnoe Butovo,7000000
95,2011-10-11,45,30.0,3.0,,,,,,,Investment,Otradnoe,6504000
96,2011-10-11,54,37.0,4.0,,,,,,,Investment,Hamovniki,12900000
97,2011-10-12,30,18.0,1.0,,,,,,,Investment,Juzhnoe Tushino,500000
98,2011-10-12,39,18.0,8.0,,,,,,,Investment,Moskvorech'e-Saburovo,9500000
99,2011-10-12,51,30.0,15.0,,,,,,,Investment,Solncevo,7100000
100,2011-10-12,74,45.0,7.0,,,,,,,Investment,Orehovo-Borisovo Severnoe,990000
101,2011-10-12,41,25.0,5.0,,,,,,,Investment,Tekstil'shhiki,5350000
102,2011-10-12,37,16.0,9.0,,,,,,,Investment,Dorogomilovo,8600000
103,2011-10-12,44,28.0,4.0,,,,,,,Investment,Bibirevo,5950000
104,2011-10-13,38,34.0,3.0,,,,,,,Investment,Severnoe Medvedkovo,2900000
105,2011-10-13,26,1.0,6.0,,,,,,,Investment,Timirjazevskoe,4146000
106,2011-10-13,34,19.0,9.0,,,,,,,Investment,Bogorodskoe,5200000
107,2011-10-13,52,30.0,1.0,,,,,,,Investment,Lianozovo,6300000
108,2011-10-13,74,43.0,14.0,,,,,,,Investment,Zapadnoe Degunino,1000000
109,2011-10-13,46,27.0,14.0,,,,,,,Investment,Izmajlovo,7200000
110,2011-10-13,77,40.0,15.0,,,,,,,Investment,Hovrino,13800000
111,2011-10-13,44,20.0,8.0,,,,,,,Investment,Pechatniki,6200000
112,2011-10-13,54,31.0,1.0,,,,,,,Investment,Bogorodskoe,6800000
113,2011-10-13,74,72.0,8.0,,,,,,,Investment,Krjukovo,7200000
114,2011-10-13,46,28.0,4.0,,,,,,,Investment,Lefortovo,6350000
115,2011-10-13,32,19.0,8.0,,,,,,,Investment,Gol'janovo,4750000
116,2011-10-14,50,30.0,8.0,,,,,,,Investment,Dmitrovskoe,6100000
117,2011-10-14,58,43.0,4.0,,,,,,,Investment,Jasenevo,8100000
118,2011-10-14,54,32.0,15.0,,,,,,,Investment,Novo-Peredelkino,6800000
119,2011-10-14,32,17.0,3.0,,,,,,,Investment,Chertanovo Severnoe,4650000
120,2011-10-14,78,47.0,6.0,,,,,,,Investment,Rjazanskij,5759000
121,2011-10-14,51,31.0,12.0,,,,,,,Investment,Vyhino-Zhulebino,990000
122,2011-10-14,36,34.0,2.0,,,,,,,Investment,Lianozovo,2000000
123,2011-10-14,57,33.0,2.0,,,,,,,Investment,Silino,6100000
124,2011-10-14,39,20.0,8.0,,,,,,,Investment,Ochakovo-Matveevskoe,1200000
125,2011-10-14,61,42.0,1.0,,,,,,,Investment,Hamovniki,11000000
126,2011-10-14,52,30.0,5.0,,,,,,,Investment,Bogorodskoe,7950000
127,2011-10-14,48,31.0,5.0,,,,,,,Investment,Donskoe,8000000
128,2011-10-15,39,21.0,6.0,,,,,,,Investment,Orehovo-Borisovo Severnoe,4950000
129,2011-10-15,325,325.0,7.0,,,,,,,Investment,Ivanovskoe,5000000
130,2011-10-15,51,31.0,15.0,,,,,,,Investment,Lefortovo,8300000
131,2011-10-15,33,32.0,5.0,,,,,,,Investment,Golovinskoe,4800000
132,2011-10-15,40,20.0,3.0,,,,,,,Investment,Ivanovskoe,4850000
133,2011-10-15,47,29.0,3.0,,,,,,,Investment,Otradnoe,2000000
134,2011-10-15,37,19.0,1.0,,,,,,,Investment,Obruchevskoe,5900000
135,2011-10-15,44,27.0,4.0,,,,,,,Investment,Kon'kovo,6000000
136,2011-10-17,32,20.0,2.0,,,,,,,Investment,Lefortovo,4700000
137,2011-10-17,53,32.0,1.0,,,,,,,Investment,Novokosino,6100000
138,2011-10-17,55,35.0,3.0,,,,,,,Investment,Bogorodskoe,7450000
139,2011-10-17,51,28.0,3.0,,,,,,,Investment,Taganskoe,5000000
140,2011-10-17,32,19.0,7.0,,,,,,,Investment,Nagatino-Sadovniki,4750000
141,2011-10-17,22,14.0,9.0,,,,,,,Investment,Dmitrovskoe,3500000
142,2011-10-18,36,17.0,10.0,,,,,,,Investment,Orehovo-Borisovo Severnoe,2000000
143,2011-10-18,44,27.0,1.0,,,,,,,Investment,Severnoe Medvedkovo,6000000
144,2011-10-18,62,34.0,7.0,,,,,,,Investment,Izmajlovo,1000000
145,2011-10-18,43,27.0,7.0,,,,,,,Investment,Birjulevo Vostochnoe,1500000
146,2011-10-18,51,30.0,3.0,,,,,,,Investment,Severnoe Izmajlovo,8150000
147,2011-10-18,102,64.0,11.0,,,,,,,Investment,Sokolinaja Gora,4600000
148,2011-10-18,117,108.0,20.0,,,,,,,OwnerOccupier,Nagatino-Sadovniki,14103600
149,2011-10-18,31,20.0,1.0,,,,,,,Investment,Nagatinskij Zaton,5600000
150,2011-10-18,59,42.0,9.0,,,,,,,Investment,Vostochnoe Degunino,6200000
151,2011-10-19,30,18.0,3.0,,,,,,,Investment,Ljublino,4450000
152,2011-10-19,54,32.0,13.0,,,,,,,Investment,Novo-Peredelkino,7050000
153,2011-10-19,46,22.0,11.0,,,,,,,Investment,Chertanovo Central'noe,1000000
154,2011-10-19,39,22.0,18.0,,,,,,,Investment,Prospekt Vernadskogo,6800000
155,2011-10-19,38,18.0,2.0,,,,,,,Investment,Savelki,1000000
156,2011-10-19,59,38.0,2.0,,,,,,,Investment,Dmitrovskoe,6450000
157,2011-10-20,44,29.0,4.0,,,,,,,Investment,Ajeroport,6900000
158,2011-10-20,54,35.0,5.0,,,,,,,Investment,Vojkovskoe,7000000
159,2011-10-20,60,42.0,2.0,,,,,,,Investment,Ochakovo-Matveevskoe,7500000
160,2011-10-20,34,19.0,3.0,,,,,,,Investment,Solncevo,5200000
161,2011-10-20,86,50.0,18.0,,,,,,,Investment,Mar'ino,10800000
162,2011-10-20,36,19.0,8.0,,,,,,,Investment,Beskudnikovskoe,5250000
163,2011-10-20,74,45.0,11.0,,,,,,,Investment,Juzhnoe Butovo,9850000
164,2011-10-20,39,21.0,6.0,,,,,,,Investment,Severnoe Butovo,5700000
165,2011-10-20,85,54.0,9.0,,,,,,,Investment,Savelki,1000000
166,2011-10-20,36,19.0,11.0,,,,,,,Investment,Moskvorech'e-Saburovo,2000000
167,2011-10-20,44,28.0,7.0,,,,,,,Investment,Vostochnoe Degunino,5550000
168,2011-10-20,38,20.0,12.0,,,,,,,Investment,Juzhnoe Butovo,3000000
169,2011-10-20,47,31.0,3.0,,,,,,,Investment,Ochakovo-Matveevskoe,6500000
170,2011-10-20,42,26.0,4.0,,,,,,,Investment,Nagatinskij Zaton,6400000
171,2011-10-21,115,60.0,7.0,,,,,,,Investment,Krylatskoe,37000000
172,2011-10-21,32,18.0,1.0,,,,,,,Investment,Pechatniki,4450000
173,2011-10-21,30,18.0,8.0,,,,,,,Investment,Juzhnoportovoe,5000000
174,2011-10-21,37,22.0,4.0,,,,,,,Investment,Bogorodskoe,6000000
175,2011-10-21,44,30.0,3.0,,,,,,,Investment,Kuz'minki,5600000
176,2011-10-21,35,22.0,5.0,,,,,,,Investment,Birjulevo Vostochnoe,4300000
177,2011-10-21,30,18.0,3.0,,,,,,,Investment,Danilovskoe,4400000
178,2011-10-22,78,74.0,3.0,,,,,,,Investment,Hovrino,11900000
179,2011-10-22,98,94.0,,,,,,,,Investment,Kurkino,11500000
180,2011-10-22,32,21.0,7.0,,,,,,,Investment,Perovo,5050000
181,2011-10-22,80,48.0,11.0,,,,,,,Investment,Mar'ino,2000000
182,2011-10-22,68,47.0,2.0,,,,,,,Investment,Akademicheskoe,10239000
183,2011-10-22,38,20.0,2.0,,,,,,,Investment,Orehovo-Borisovo Severnoe,4950000
184,2011-10-22,38,19.0,7.0,,,,,,,Investment,Brateevo,5300000
185,2011-10-24,43,27.0,6.0,,,,,,,Investment,Horoshevo-Mnevniki,1000000
186,2011-10-24,98,55.0,12.0,,,,,,,Investment,Otradnoe,18000000
187,2011-10-24,31,20.0,2.0,,,,,,,Investment,Kuz'minki,1200000
188,2011-10-24,49,29.0,,,,,,,,Investment,Nagatinskij Zaton,8300000
189,2011-10-24,38,19.0,15.0,,,,,,,Investment,Ivanovskoe,5500000
190,2011-10-24,37,19.0,10.0,,,,,,,Investment,Ochakovo-Matveevskoe,6150000
191,2011-10-24,104,64.0,7.0,,,,,,,Investment,Shhukino,4210429
192,2011-10-24,45,28.0,5.0,,,,,,,Investment,Gol'janovo,5500000
193,2011-10-25,33,19.0,9.0,,,,,,,Investment,Hovrino,1000000
194,2011-10-25,39,39.0,10.0,,,,,,,Investment,Vostochnoe Izmajlovo,5000000
195,2011-10-25,53,52.0,7.0,,,,,,,Investment,Mitino,1000000
196,2011-10-25,37,23.0,,,,,,,,Investment,Nagatinskij Zaton,2000000
197,2011-10-25,36,20.0,5.0,,,,,,,Investment,Basmannoe,6500000
198,2011-10-25,54,38.0,3.0,,,,,,,Investment,Juzhnoe Tushino,7200000
199,2011-10-25,54,35.0,2.0,,,,,,,Investment,Kapotnja,6700000
200,2011-10-25,102,64.0,8.0,,,,,,,Investment,Fili Davydkovo,18100000
201,2011-10-25,38,19.0,15.0,,,,,,,Investment,Horoshevskoe,7150000
202,2011-10-25,33,14.0,8.0,,,,,,,Investment,Juzhnoe Butovo,5700000
203,2011-10-25,30,18.0,3.0,,,,,,,Investment,Marfino,4050000
204,2011-10-25,76,51.0,2.0,,,,,,,Investment,Juzhnoportovoe,10600000
205,2011-10-26,44,29.0,8.0,,,,,,,Investment,Vostochnoe Izmajlovo,5500000
206,2011-10-26,35,21.0,5.0,,,,,,,Investment,Lefortovo,5750000
207,2011-10-26,72,45.0,10.0,,,,,,,Investment,Krylatskoe,13500000
208,2011-10-26,32,18.0,6.0,,,,,,,Investment,Chertanovo Juzhnoe,4850000
209,2011-10-26,84,43.0,21.0,,,,,,,Investment,Silino,7700000
210,2011-10-26,45,26.0,5.0,,,,,,,Investment,Chertanovo Juzhnoe,2000000
211,2011-10-26,42,19.0,8.0,,,,,,,Investment,Obruchevskoe,1000000
212,2011-10-26,38,20.0,5.0,,,,,,,Investment,Juzhnoe Tushino,6197000
213,2011-10-26,37,23.0,7.0,,,,,,,Investment,Savelovskoe,6200000
214,2011-10-26,54,32.0,15.0,,,,,,,Investment,Jasenevo,8590000
215,2011-10-26,43,28.0,2.0,,,,,,,Investment,Juzhnoe Tushino,3600000
216,2011-10-26,45,27.0,,,,,,,,Investment,Chertanovo Juzhnoe,2825000
217,2011-10-27,60,32.0,16.0,,,,,,,Investment,Obruchevskoe,360000
218,2011-10-27,50,28.0,14.0,,,,,,,Investment,Fili Davydkovo,9200000
219,2011-10-27,17,13.0,4.0,,,,,,,Investment,Severnoe Izmajlovo,3670000
220,2011-10-27,58,31.0,5.0,,,,,,,Investment,Filevskij Park,990000
221,2011-10-27,58,38.0,8.0,,,,,,,Investment,Danilovskoe,9200000
222,2011-10-27,38,19.0,5.0,,,,,,,Investment,Severnoe Medvedkovo,6120000
223,2011-10-28,93,54.0,5.0,,,,,,,Investment,Kurkino,11640000
224,2011-10-28,45,32.0,4.0,,,,,,,Investment,Birjulevo Zapadnoe,1000000
225,2011-10-28,32,17.0,3.0,,,,,,,Investment,Danilovskoe,5700000
226,2011-10-28,57,43.0,1.0,,,,,,,Investment,Severnoe Tushino,6800000
227,2011-10-28,37,19.0,16.0,,,,,,,Investment,Taganskoe,7500000
228,2011-10-28,39,17.0,13.0,,,,,,,Investment,Nekrasovka,1030000
229,2011-10-28,42,19.0,9.0,,,,,,,Investment,Juzhnoe Butovo,1100000
230,2011-10-28,41,27.0,7.0,,,,,,,Investment,Ljublino,4700000
231,2011-10-28,34,19.0,4.0,,,,,,,Investment,Nagatinskij Zaton,5000000
232,2011-10-28,44,27.0,9.0,,,,,,,Investment,Chertanovo Central'noe,6090000
233,2011-10-28,41,21.0,9.0,,,,,,,Investment,Vyhino-Zhulebino,5360000
234,2011-10-28,52,30.0,9.0,,,,,,,Investment,Orehovo-Borisovo Severnoe,1000000
235,2011-10-29,38,23.0,4.0,,,,,,,Investment,Presnenskoe,7500000
236,2011-10-29,38,19.0,16.0,,,,,,,Investment,Taganskoe,1000000
237,2011-10-29,52,30.0,9.0,,,,,,,Investment,Perovo,9000000
238,2011-10-29,48,10.0,9.0,,,,,,,Investment,Mar'ino,2000000
239,2011-10-29,44,28.0,3.0,,,,,,,Investment,Jasenevo,6350000
240,2011-10-29,30,17.0,6.0,,,,,,,Investment,Vojkovskoe,5400000
241,2011-10-29,60,33.0,11.0,,,,,,,Investment,Krjukovo,6000000
242,2011-10-29,50,34.0,6.0,,,,,,,Investment,Veshnjaki,6400000
243,2011-10-29,43,19.0,10.0,,,,,,,Investment,Birjulevo Vostochnoe,5500000
244,2011-10-29,54,32.0,3.0,,,,,,,Investment,Novo-Peredelkino,7000000
245,2011-10-29,39,21.0,3.0,,,,,,,Investment,Ivanovskoe,3100000
246,2011-10-29,76,45.0,4.0,,,,,,,Investment,Krylatskoe,5000000
247,2011-10-31,45,29.0,2.0,,,,,,,Investment,Orehovo-Borisovo Severnoe,6170000
248,2011-10-31,38,21.0,2.0,,,,,,,Investment,Rjazanskij,5500000
249,2011-10-31,60,34.0,3.0,,,,,,,Investment,Lefortovo,7400000
250,2011-10-31,38,20.0,3.0,,,,,,,Investment,Dmitrovskoe,990000
251,2011-10-31,38,18.0,3.0,,,,,,,Investment,Kosino-Uhtomskoe,4930000
252,2011-10-31,75,45.0,12.0,,,,,,,Investment,Cheremushki,14000000
253,2011-10-31,57,42.0,7.0,,,,,,,Investment,Sviblovo,8600000
254,2011-10-31,35,14.0,2.0,,,,,,,Investment,Prospekt Vernadskogo,5750000
255,2011-10-31,34,19.0,10.0,,,,,,,Investment,Ochakovo-Matveevskoe,5400000
256,2011-11-01,41,26.0,2.0,,,,,,,Investment,Kuz'minki,5425000
257,2011-11-01,43,29.0,5.0,,,,,,,Investment,Koptevo,5450000
258,2011-11-01,44,20.0,8.0,,,,,,,Investment,Pechatniki,6200000
259,2011-11-01,52,30.0,8.0,,,,,,,Investment,Gol'janovo,7400000
260,2011-11-01,39,20.0,11.0,,,,,,,Investment,Kapotnja,4300000
261,2011-11-01,30,17.0,4.0,,,,,,,Investment,Alekseevskoe,5000000
262,2011-11-01,45,30.0,2.0,,,,,,,Investment,Kuz'minki,4000000
263,2011-11-01,102,66.0,4.0,,,,,,,Investment,Ajeroport,17300000
264,2011-11-01,36,22.0,5.0,,,,,,,Investment,Caricyno,5200000
265,2011-11-01,99,77.0,8.0,,,,,,,Investment,Kurkino,6500000
266,2011-11-01,44,29.0,5.0,,,,,,,Investment,Babushkinskoe,5300000
267,2011-11-02,32,18.0,6.0,,,,,,,Investment,Rjazanskij,5200000
268,2011-11-02,38,21.0,2.0,,,,,,,Investment,Severnoe Butovo,4950000
269,2011-11-02,37,18.0,4.0,,,,,,,Investment,Severnoe Butovo,5400000
270,2011-11-02,32,18.0,3.0,,,,,,,Investment,Chertanovo Juzhnoe,4700000
271,2011-11-02,39,20.0,2.0,,,,,,,Investment,Krasnosel'skoe,7200000
272,2011-11-02,41,18.0,20.0,,,,,,,Investment,Kosino-Uhtomskoe,1600000
273,2011-11-02,38,19.0,7.0,,,,,,,Investment,Mar'ino,5750000
274,2011-11-02,39,20.0,1.0,,,,,,,Investment,Orehovo-Borisovo Juzhnoe,4700000
275,2011-11-02,37,22.0,5.0,,,,,,,Investment,Kotlovka,6150000
276,2011-11-03,38,20.0,2.0,,,,,,,Investment,Strogino,2000000
277,2011-11-03,38,22.0,3.0,,,,,,,Investment,Kon'kovo,6579000
278,2011-11-03,50,30.0,1.0,,,,,,,Investment,Zapadnoe Degunino,6225000
279,2011-11-03,144,68.0,1.0,,,,,,,Investment,Kurkino,5817420
280,2011-11-03,80,46.0,3.0,,,,,,,Investment,Severnoe Butovo,13000000
281,2011-11-03,83,83.0,18.0,,,,,,,OwnerOccupier,Bogorodskoe,11380040
282,2011-11-03,33,32.0,7.0,,,,,,,Investment,Ivanovskoe,4700000
283,2011-11-03,34,19.0,8.0,,,,,,,Investment,Pechatniki,4500000
284,2011-11-03,44,28.0,5.0,,,,,,,Investment,Pechatniki,5800000
285,2011-11-03,40,22.0,1.0,,,,,,,Investment,Danilovskoe,3000000
286,2011-11-03,41,20.0,10.0,,,,,,,Investment,Ljublino,4650000
287,2011-11-03,49,27.0,4.0,,,,,,,Investment,Horoshevskoe,8800000
288,2011-11-03,43,29.0,1.0,,,,,,,Investment,Nagornoe,5220000
289,2011-11-05,31,19.0,4.0,,,,,,,Investment,Nagornoe,4650000
290,2011-11-05,44,27.0,5.0,,,,,,,Investment,Horoshevo-Mnevniki,7100000
291,2011-11-05,39,20.0,4.0,,,,,,,Investment,Mar'ino,5550000
292,2011-11-05,20,12.0,2.0,,,,,,,Investment,Nagornoe,4000000
293,2011-11-05,37,19.0,1.0,,,,,,,Investment,Kosino-Uhtomskoe,4430000
294,2011-11-05,75,48.0,10.0,,,,,,,Investment,Horoshevskoe,1115000
295,2011-11-05,33,20.0,,,,,,,,Investment,Novogireevo,1000000
296,2011-11-05,44,27.0,9.0,,,,,,,Investment,Otradnoe,6150000
297,2011-11-05,44,28.0,6.0,,,,,,,Investment,Nagatinskij Zaton,7400000
298,2011-11-07,154,101.0,16.0,,,,,,,Investment,Kuncevo,23300000
299,2011-11-07,43,28.0,5.0,,,,,,,Investment,Ajeroport,8750000
300,2011-11-07,32,18.0,3.0,,,,,,,Investment,Zjuzino,5200000
301,2011-11-07,36,22.0,1.0,,,,,,,Investment,Kuz'minki,1000000
302,2011-11-07,38,20.0,3.0,,,,,,,Investment,Kuz'minki,5500000
303,2011-11-07,54,28.0,10.0,,,,,,,Investment,Beskudnikovskoe,1000000
304,2011-11-07,30,18.0,2.0,,,,,,,Investment,Koptevo,4650000
305,2011-11-07,45,28.0,2.0,,,,,,,Investment,Preobrazhenskoe,7150000
306,2011-11-07,40,27.0,2.0,,,,,,,Investment,Nagornoe,5850000
307,2011-11-07,77,47.0,9.0,,,,,,,Investment,Krjukovo,8700000
308,2011-11-07,55,34.0,5.0,,,,,,,Investment,Izmajlovo,8000000
309,2011-11-07,77,47.0,17.0,,,,,,,Investment,Ostankinskoe,6000000
310,2011-11-07,35,19.0,11.0,,,,,,,Investment,Kuncevo,6000000
311,2011-11-07,38,23.0,6.0,,,,,,,Investment,Severnoe Medvedkovo,4118916
312,2011-11-07,79,47.0,6.0,,,,,,,Investment,Danilovskoe,10600000
313,2011-11-07,46,30.0,5.0,,,,,,,Investment,Chertanovo Central'noe,2000000
314,2011-11-08,38,19.0,5.0,,,,,,,Investment,Tverskoe,6300000
315,2011-11-08,38,38.0,8.0,,,,,,,Investment,Severnoe Izmajlovo,6100000
316,2011-11-08,36,35.0,7.0,,,,,,,Investment,Rjazanskij,5300000
317,2011-11-08,56,55.0,7.0,,,,,,,Investment,Sokol,3000000
318,2011-11-08,48,31.0,4.0,,,,,,,Investment,Ochakovo-Matveevskoe,1000000
319,2011-11-08,55,18.0,5.0,,,,,,,Investment,Shhukino,1000000
320,2011-11-08,34,19.0,6.0,,,,,,,Investment,Horoshevskoe,6400000
321,2011-11-08,33,18.0,1.0,,,,,,,Investment,Severnoe Izmajlovo,4400000
322,2011-11-09,50,32.0,9.0,,,,,,,Investment,Orehovo-Borisovo Juzhnoe,5870000
323,2011-11-09,51,30.0,4.0,,,,,,,Investment,Pechatniki,990000
324,2011-11-09,43,26.0,2.0,,,,,,,Investment,Babushkinskoe,6300000
325,2011-11-09,46,28.0,8.0,,,,,,,Investment,Severnoe Izmajlovo,5800000
326,2011-11-09,74,45.0,12.0,,,,,,,Investment,Chertanovo Severnoe,12500000
327,2011-11-09,49,33.0,8.0,,,,,,,Investment,Jasenevo,7500000
